skill_id,name
373,Thiết kế hệ thống ống dẫn
374,Đo đạc – Trắc địa
375,Giám sát công trình
376,Thiết kế hệ thống điện
377,Phân tích kết cấu
378,Tuân thủ tiêu chuẩn an toàn
379,Chăm sóc điều dưỡng cơ bản
380,Theo dõi dấu hiệu sinh tồn
381,Sơ cứu
382,Thuật ngữ y khoa
383,Chăm sóc bệnh nhân
384,Cấp phát thuốc
385,Giáo dục sức khỏe
386,Thủ thuật lâm sàng
387,Hồ sơ y tế điện tử (EHR)
388,Chứng nhận hồi sức tim phổi (CPR)
389,Kiểm soát nhiễm khuẩn
390,Chăm sóc người bệnh/già yếu
